Advertiser ID,Advertiser Name,Advertiser URL,Advertiser Category,Program ID,Program Name,Program Logo URI,Active Date,Template Terms Name,Insertion Order Status,Tracking Link,Allows Deep Linking,Payout
6362864,Doba.Inc,https://www.doba.com,"Apparel, Shoes & Accessories",38125,Doba Dropshipping,/display-logo-via-campaign/38125.gif,"Dec 8, 2025 11:33",Public Term,Active,https://dobainc.pxf.io/c/5980041/3090534/38125,true,Online Sales: 30%
4221510,DocuSign,http://www.docusign.com,B2B,19450,DocuSign,/display-logo-via-campaign/19450.gif,"Dec 8, 2025 11:37",Public Terms,Active,https://docusign.pxf.io/c/5980041/1679366/19450,true,"Paid Subscription: 15%
Free Trial: $0.00"
6239770,Dreamworld Research Inc.,https://foxy.ai,Apps,35655,Foxy.ai,/display-logo-via-campaign/35655.gif,"Dec 8, 2025 11:32",Public Terms,Expired,https://dreamworldresearchinc.pxf.io/c/5980041/2981579/35655,true,"Recurring Subscription: 30%
Subscription: 30%
Account Creation: $0.00"
5419592,DrTalks,https://drtalks.com,Career,24899,DrTalks,/display-logo-via-campaign/24899.gif,"Dec 8, 2025 21:14",Public Terms,Active,https://drtalks.pxf.io/c/5980041/2013193/24899,true,"Purchase: 50%
Sign Up: $2.00"
3528657,Dymocks Pty Ltd,http://dymocks.com.au,Collectibles & Hobbies,16665,Dymocks Books & Gifts ,/display-logo-via-campaign/16665.gif,"Dec 8, 2025 16:56",Public Terms,Active,https://dymocks-australia.pxf.io/c/5980041/1398797/16665,true,Online Sale: 0%
1912000,Easyship,https://www.easyship.com/,B2B,10435,Easyship Ambassador Program,/display-logo-via-campaign/10435.gif,"Jan 29, 2025 11:17",Easyship Standard,Active,https://easyship.ilbqy6.net/c/5980041/666308/10435,true,"Freemium Subscription: 100%
Shipping Transaction: 2.5%
Company Created: $0.00"
5447389,eat G.A.N.G.S.T.E.R.,https://www.eatgangster.com,Food & Gifts,25173,eat G.A.N.G.S.T.E.R.,/display-logo-via-campaign/25173.gif,"Feb 3, 2025 17:59",Public Terms,Active,https://eatgangster.pxf.io/c/5980041/2024542/25173,true,Online Sale: 20%
3870586,eBrands Global Oy,https://ebrands.com/,Games/Toys,18069,Puzzle Ready affiliate program,/display-logo-via-campaign/18069.gif,"Jan 29, 2025 11:26",Puzzle Ready Terms,Active,https://puzzlereadyaffiliateprogram.pxf.io/c/5980041/1549130/18069,true,Online Sale: 10%
3870586,eBrands Global Oy,https://ebrands.com/,Kitchen & Dining,18086,Happy Sinks Affiliate Program,/display-logo-via-campaign/18086.gif,"Jan 29, 2025 11:22",Happy Sinks terms,Active,https://happy-sinks-eu.sjv.io/c/5980041/1549971/18086,true,Online Sale: 10%
3870586,eBrands Global Oy,https://ebrands.com/,,18088,INDO Trick Scooter affiliate program,/display-logo-via-campaign/18088.gif,"Jan 29, 2025 11:27",INDO Public Terms,Active,https://indo-tricks-scooter.sjv.io/c/5980041/1549977/18088,true,Online Sale: 10%
3870586,eBrands Global Oy,https://ebrands.com/,,18089,Coach Soak affiliate program,/display-logo-via-campaign/18089.gif,"Jan 29, 2025 11:27",Coach Soak Terms,Active,https://coach-soak.sjv.io/c/5980041/1549982/18089,true,Online Sale: 20%
3870586,eBrands Global Oy,https://ebrands.com/,,18090,Bodyotics affiliate program,/display-logo-via-campaign/18090.gif,"Jan 29, 2025 11:27",Bodyotics Terms,Active,https://bodyotics.sjv.io/c/5980041/1549984/18090,true,Online Sale: 10%
3870586,eBrands Global Oy,https://ebrands.com/,Sports & Exercise Equipment,18091,Fofana affiliate program,/display-logo-via-campaign/18091.gif,"Jan 29, 2025 11:27",Public Terms,Active,https://fofana.sjv.io/c/5980041/1549986/18091,true,Online Sale: 10%
3870586,eBrands Global Oy,https://ebrands.com/,,18358,Penchant for Pleasure,/display-logo-via-campaign/18358.gif,"Jan 29, 2025 11:27",Public Terms,Active,https://penchant-for-pleasure.sjv.io/c/5980041/1582170/18358,true,Online Sale: 10%
3870586,eBrands Global Oy,https://ebrands.com/,Patio & Garden,18359,Big Bat Box,/display-logo-via-campaign/18359.gif,"Jan 29, 2025 11:25",Public Terms,Active,https://big-bat-box.pxf.io/c/5980041/1582173/18359,true,Online Sale: 15%
3870586,eBrands Global Oy,https://ebrands.com/,,18360,Striking Viking,/display-logo-via-campaign/18360.gif,"Jan 29, 2025 11:28",Public Terms,Active,https://viking-beard-gear.pxf.io/c/5980041/1582181/18360,true,Online Sale : 10%
